NPI,PROVIDER_FIRST_NAME,PROVIDER_LAST_NAME,SPECIALTY,DEPARTMENT,KP_REGION,FACILITY,PROVIDER_TYPE,DEA_NUMBER,LICENSE_STATE,HIRE_DATE,STATUS,PANEL_SIZE,ACCEPTS_NEW_PATIENTS
1705925823,Susan,King,Neurology,Neurology,NW,Westside Medical Center,NP,DEA9472817,CA,2020-06-02,ON_LEAVE,1348,N
1814448391,William,Thomas,Gastroenterology,Gastroenterology,CO,Skyline Medical Center,RN,DEA6280969,WA,2015-08-29,ACTIVE,2195,Y
1474469007,Susan,Lewis,Internal Medicine,Internal Medicine,NW,Interstate Medical Office,NP,DEA4983715,MD,2023-07-24,ACTIVE,2081,Y
1918131228,Jeffrey,Moore,OB/GYN,OB/GYN,CO,Rock Creek Medical Office,PA,DEA5579137,OR,2020-10-11,ACTIVE,845,Y
1963586295,Scott,Moore,Surgery,Surgery,GA,Town Center Medical Office,RN,DEA8884683,GA,2014-01-27,ACTIVE,1573,Y
1949746829,Nicole,Cruz,Neurology,Neurology,GA,Town Center Medical Office,MD,DEA8739747,DC,2005-06-04,ACTIVE,2421,N
1333589239,Sharon,Thompson,Orthopedics,Orthopedics,MID,Mid-Atlantic Medical Center,NP,DEA5511100,DC,2010-03-25,ACTIVE,1393,Y
1490853011,Rachel,Reyes,Oncology,Oncology,NW,Interstate Medical Office,MD,DEA4896652,DC,2018-11-29,ACTIVE,2223,Y
1817906005,Amy,Cruz,ENT,ENT,NCAL,Oakland Medical Center,NP,DEA9085599,MD,2017-01-23,ACTIVE,1138,N
1938844270,Catherine,Miller,Emergency Medicine,Emergency Medicine,MID,Burke Medical Center,RN,DEA3705949,WA,2014-01-01,ACTIVE,2303,Y
1927566133,Laura,Taylor,Rheumatology,Rheumatology,NW,Interstate Medical Office,MD,DEA9973573,HI,2009-02-11,ACTIVE,227,Y
1285559675,Janet,Lopez,Orthopedics,Orthopedics,NW,Sunnyside Medical Center,MD,DEA6550643,GA,2017-09-12,INACTIVE,1959,Y
1005399931,Katherine,Williams,Gastroenterology,Gastroenterology,NW,Sunnyside Medical Center,LCSW,DEA8709901,GA,2010-10-09,INACTIVE,1363,N
1202868015,Jeffrey,Hill,Endocrinology,Endocrinology,CO,Rock Creek Medical Office,NP,DEA3662758,DC,2009-12-12,ACTIVE,2081,Y
1837834628,Jessica,Hill,Neurology,Neurology,MID,Mid-Atlantic Medical Center,MD,DEA2030966,OR,2005-12-21,ACTIVE,1092,Y
1985418723,Rebecca,Cruz,Pediatrics,Pediatrics,SCAL,Los Angeles Medical Center,PA,DEA3099504,VA,2015-01-08,ACTIVE,1724,Y
1051436919,Kenneth,Lee,Urology,Urology,MAS,Tysons Corner Medical Center,MD,DEA4097255,WA,2014-07-25,ACTIVE,706,Y
1015706876,Benjamin,Martinez,Neurology,Neurology,MAS,Tysons Corner Medical Center,RN,DEA9818243,DC,2014-12-20,ACTIVE,1612,Y
1784910041,Robert,Scott,Psychiatry,Psychiatry,HI,Maui Lani Medical Office,DO,DEA4085180,CA,2012-03-24,ACTIVE,803,Y
1004676332,Christopher,Taylor,Cardiology,Cardiology,SCAL,Fontana Medical Center,PA,DEA1717405,HI,2005-12-06,ACTIVE,460,Y
1443010221,Patricia,Thompson,Rheumatology,Rheumatology,GA,Town Center Medical Office,RN,DEA7657247,OR,2005-06-21,ACTIVE,554,Y
1491792146,Susan,Perez,Internal Medicine,Internal Medicine,MAS,Capitol Hill Medical Center,NP,DEA8544066,MD,2014-02-26,ACTIVE,566,Y
1216464839,Dorothy,Carter,Pulmonology,Pulmonology,HI,Maui Lani Medical Office,RN,DEA4324441,CA,2019-08-20,ACTIVE,2080,Y
1903702053,Sarah,Diaz,Neurology,Neurology,NCAL,Oakland Medical Center,PhD,DEA5570547,MD,2023-05-21,ACTIVE,1991,Y
1044396850,Donna,Phillips,ENT,ENT,HI,Moanalua Medical Center,MD,DEA4844709,OR,2015-06-15,ON_LEAVE,2456,Y
1546883462,Susan,Morales,Emergency Medicine,Emergency Medicine,MAS,Tysons Corner Medical Center,MD,DEA4789777,CA,2020-06-20,ACTIVE,218,Y
1554465079,Kathleen,Perez,Cardiology,Cardiology,NCAL,Fremont Medical Center,LCSW,DEA2631340,MD,2011-06-23,ACTIVE,560,Y
1731056153,Mary,Moore,Pediatrics,Pediatrics,NCAL,Sacramento Medical Center,MD,DEA2711481,MD,2008-08-09,ON_LEAVE,374,N
1047915249,Steven,Morales,Pediatrics,Pediatrics,SCAL,San Diego Medical Center,RN,DEA9785475,MD,2020-07-28,ON_LEAVE,2156,N
1468559766,Mary,Davis,Surgery,Surgery,HI,Maui Lani Medical Office,PA,DEA7303055,CA,2020-04-24,ACTIVE,586,N
1207052797,Christine,Thomas,ENT,ENT,GA,Town Center Medical Office,RN,DEA4909862,WA,2011-11-06,ACTIVE,1880,Y
1711803624,William,Roberts,Endocrinology,Endocrinology,HI,Moanalua Medical Center,PA,DEA7404553,MD,2008-10-24,ACTIVE,1297,Y
1078403700,Michelle,Rivera,Endocrinology,Endocrinology,MID,Mid-Atlantic Medical Center,MD,DEA7647675,MD,2009-05-20,ACTIVE,2147,Y
1016569058,Rachel,Roberts,Rheumatology,Rheumatology,NW,Sunnyside Medical Center,DO,DEA3457353,MD,2017-11-25,ACTIVE,875,N
1717534460,Mark,Young,Radiology,Radiology,MAS,Tysons Corner Medical Center,NP,DEA3161365,OR,2009-11-05,ACTIVE,1529,N
1136868598,Christopher,Phillips,Gastroenterology,Gastroenterology,SCAL,San Diego Medical Center,PA,DEA6766670,CA,2020-12-17,ACTIVE,515,Y
1178236285,Edward,Morris,Gastroenterology,Gastroenterology,MID,Mid-Atlantic Medical Center,RN,DEA1037344,CA,2015-12-02,ACTIVE,666,Y
1859178197,Rachel,Perez,Urology,Urology,HI,Maui Lani Medical Office,MD,DEA5498563,CO,2012-07-31,ON_LEAVE,811,Y
1412710702,Shirley,Lopez,ENT,ENT,MAS,Tysons Corner Medical Center,MD,DEA1447402,OR,2018-10-11,ACTIVE,1417,Y
1830757658,Samuel,Torres,Cardiology,Cardiology,MID,Mid-Atlantic Medical Center,DO,DEA1089944,OR,2005-01-22,ACTIVE,1624,N
1283422899,Rebecca,White,Gastroenterology,Gastroenterology,MAS,Capitol Hill Medical Center,PA,DEA9386378,WA,2013-01-27,ACTIVE,1346,Y
1795057201,Andrew,Carter,Pediatrics,Pediatrics,NW,Interstate Medical Office,MD,DEA5128619,HI,2017-06-30,ACTIVE,2489,Y
1933498508,John,Stewart,Rheumatology,Rheumatology,HI,Maui Lani Medical Office,RN,DEA4527391,VA,2015-10-01,ACTIVE,1552,Y
1635596055,Dorothy,Lewis,Urology,Urology,MID,Burke Medical Center,MD,DEA1074440,CO,2017-01-22,ACTIVE,432,Y
1715662625,Cynthia,Roberts,Neurology,Neurology,CO,Franklin Medical Center,DO,DEA4158280,CO,2015-09-11,ACTIVE,1534,Y
1101782466,Scott,Thompson,Pediatrics,Pediatrics,HI,Moanalua Medical Center,RN,DEA9415478,CA,2018-07-29,ACTIVE,1195,N
1783597885,John,Davis,Gastroenterology,Gastroenterology,NW,Westside Medical Center,RN,DEA6986896,OR,2012-04-08,ACTIVE,729,N
1024196387,Kimberly,Evans,Pediatrics,Pediatrics,MID,Mid-Atlantic Medical Center,RN,DEA7336353,MD,2007-11-03,ACTIVE,1161,Y
1601285568,William,Thompson,Endocrinology,Endocrinology,HI,Maui Lani Medical Office,PhD,DEA8627174,HI,2013-03-05,ACTIVE,284,N
1124919845,Jeffrey,Clark,Ophthalmology,Ophthalmology,NCAL,Sacramento Medical Center,DO,DEA8839793,HI,2012-04-09,ACTIVE,1408,Y
1195298031,Susan,Campbell,Rheumatology,Rheumatology,NW,Westside Medical Center,DO,DEA3035670,CO,2009-09-20,ACTIVE,1398,Y
1212986417,Ronald,Perez,Urology,Urology,MAS,Capitol Hill Medical Center,MD,DEA9178414,GA,2010-05-18,ACTIVE,898,Y
1545837452,Deborah,Flores,Gastroenterology,Gastroenterology,NW,Westside Medical Center,MD,DEA3528526,HI,2008-09-27,INACTIVE,149,Y
1390366846,Brian,Turner,Urology,Urology,NW,Westside Medical Center,MD,DEA4814631,OR,2018-08-16,INACTIVE,1855,Y
1204316715,Thomas,Rodriguez,Urology,Urology,NCAL,Oakland Medical Center,RN,DEA4414748,VA,2013-11-22,ACTIVE,1422,N
1706184597,Janet,Flores,Nephrology,Nephrology,HI,Maui Lani Medical Office,DO,DEA4351189,MD,2020-12-05,ACTIVE,451,Y
1971879182,Melissa,Harris,Emergency Medicine,Emergency Medicine,MID,Burke Medical Center,DO,DEA6029413,CO,2016-01-26,ACTIVE,1396,N
1038570460,Shirley,Murphy,OB/GYN,OB/GYN,GA,Crescent Center,RN,DEA9058867,CO,2005-02-06,ACTIVE,360,Y
1575177719,Gary,Brown,ENT,ENT,CO,Skyline Medical Center,MD,DEA4302833,DC,2017-07-14,INACTIVE,367,Y
1134382428,Carolyn,Wilson,Radiology,Radiology,HI,Moanalua Medical Center,MD,DEA2919730,HI,2016-02-18,ACTIVE,676,Y
1338663774,Gregory,Smith,Nephrology,Nephrology,SCAL,Los Angeles Medical Center,RN,DEA1692896,HI,2017-06-17,ACTIVE,752,Y
1441258881,Kathleen,Gomez,Neurology,Neurology,CO,Rock Creek Medical Office,MD,DEA2139210,GA,2017-02-25,ACTIVE,747,N
1145626373,Sharon,Anderson,Dermatology,Dermatology,MAS,Tysons Corner Medical Center,DO,DEA3036565,WA,2007-03-24,INACTIVE,2324,Y
1390463708,Scott,Diaz,Cardiology,Cardiology,GA,Crescent Center,DO,DEA7023835,VA,2017-08-04,ACTIVE,291,Y
1926002996,Kevin,Baker,Oncology,Oncology,HI,Maui Lani Medical Office,NP,DEA7591612,MD,2008-03-22,ACTIVE,1572,Y
1530449187,Christine,Martin,Emergency Medicine,Emergency Medicine,MID,Mid-Atlantic Medical Center,NP,DEA9625023,CA,2023-05-09,ACTIVE,2072,N
1064916140,Patrick,Torres,Oncology,Oncology,HI,Moanalua Medical Center,PhD,DEA4791693,OR,2014-02-28,ACTIVE,1583,Y
1476072779,Gary,Ramirez,Orthopedics,Orthopedics,HI,Maui Lani Medical Office,MD,DEA7889831,CA,2023-11-10,ACTIVE,2404,N
1464907293,Amanda,Harris,Emergency Medicine,Emergency Medicine,NCAL,Oakland Medical Center,MD,DEA9955830,VA,2007-05-19,ACTIVE,1096,Y
1291310515,Ashley,Rodriguez,Internal Medicine,Internal Medicine,SCAL,Riverside Medical Center,RN,DEA8196356,WA,2022-02-11,ACTIVE,1745,N
1157742561,Debra,Mitchell,Oncology,Oncology,CO,Skyline Medical Center,MD,DEA4738428,DC,2021-02-08,ACTIVE,104,Y
1909593672,Stephanie,Turner,Dermatology,Dermatology,NCAL,Oakland Medical Center,PA,DEA2182978,WA,2011-08-04,ACTIVE,1354,Y
1269384244,Karen,Green,Ophthalmology,Ophthalmology,SCAL,Downey Medical Center,NP,DEA1529758,GA,2014-10-03,ON_LEAVE,288,Y
1350569649,Barbara,Johnson,Dermatology,Dermatology,MID,Mid-Atlantic Medical Center,PhD,DEA7331862,DC,2011-08-09,INACTIVE,1802,Y
1021127095,Kimberly,Rodriguez,Pulmonology,Pulmonology,NW,Westside Medical Center,NP,DEA6807870,VA,2014-03-26,ACTIVE,289,Y
1275896460,Margaret,Johnson,Orthopedics,Orthopedics,GA,Crescent Center,DO,DEA8280334,HI,2011-02-20,ACTIVE,2032,Y
1932045806,Carolyn,Adams,Neurology,Neurology,NCAL,Santa Clara Medical Center,DO,DEA4113105,WA,2018-03-05,ACTIVE,878,Y
1579747180,Frank,Johnson,Internal Medicine,Internal Medicine,SCAL,Irvine Medical Center,NP,DEA6387123,VA,2005-10-09,ACTIVE,1470,Y
1278388475,Jonathan,Taylor,Neurology,Neurology,HI,Maui Lani Medical Office,MD,DEA9438989,CO,2018-11-10,ACTIVE,1817,Y
1824305503,Angela,Flores,Rheumatology,Rheumatology,HI,Maui Lani Medical Office,PA,DEA4096580,GA,2023-07-17,ACTIVE,423,Y
1094218758,Emma,Anderson,Orthopedics,Orthopedics,SCAL,Riverside Medical Center,RN,DEA9885569,HI,2016-01-22,ACTIVE,1715,Y
1529167067,Amy,Gomez,Pulmonology,Pulmonology,MAS,Tysons Corner Medical Center,PA,DEA8608885,CA,2015-09-17,ACTIVE,2417,Y
1405846799,Linda,Flores,Oncology,Oncology,HI,Maui Lani Medical Office,NP,DEA7296732,WA,2015-09-24,ACTIVE,1392,Y
1386651457,Amanda,Morales,OB/GYN,OB/GYN,SCAL,Riverside Medical Center,MD,DEA5550022,HI,2015-12-25,ACTIVE,1056,Y
1588061274,Eric,Cruz,Orthopedics,Orthopedics,MID,Mid-Atlantic Medical Center,RN,DEA1008462,HI,2021-07-19,ACTIVE,1083,Y
1382780776,Sarah,Collins,Dermatology,Dermatology,NCAL,Santa Clara Medical Center,MD,DEA7759023,VA,2012-08-24,ACTIVE,1596,Y
1929119691,Steven,Davis,Neurology,Neurology,NCAL,Sacramento Medical Center,RN,DEA4175186,CA,2006-09-01,ACTIVE,1203,Y
1350121071,Ashley,Edwards,Internal Medicine,Internal Medicine,HI,Maui Lani Medical Office,MD,DEA8744365,HI,2008-05-28,ACTIVE,1991,Y
1950035444,Donald,Morales,Psychiatry,Psychiatry,GA,Town Center Medical Office,PA,DEA4701149,CO,2014-05-17,ACTIVE,2295,Y
1033362972,Sharon,Smith,Internal Medicine,Internal Medicine,SCAL,Los Angeles Medical Center,RN,DEA3343845,MD,2023-09-25,INACTIVE,865,N
1397373374,Brian,Lee,Internal Medicine,Internal Medicine,SCAL,Fontana Medical Center,MD,DEA8055342,VA,2012-08-01,INACTIVE,1887,Y
1798260178,Jack,Reyes,Oncology,Oncology,HI,Moanalua Medical Center,RN,DEA8317933,OR,2010-04-05,ACTIVE,2381,Y
1280913512,Melissa,Edwards,Oncology,Oncology,NW,Sunnyside Medical Center,RN,DEA5622830,CO,2007-08-08,ACTIVE,2400,Y
1433119642,Brenda,Rivera,OB/GYN,OB/GYN,MID,Burke Medical Center,MD,DEA8974080,GA,2023-04-02,ACTIVE,1694,N
1042511459,Helen,Smith,Radiology,Radiology,NW,Westside Medical Center,MD,DEA7489159,GA,2021-11-09,ACTIVE,1513,Y
1727019556,Jessica,Wright,Cardiology,Cardiology,NCAL,San Francisco Medical Center,MD,DEA9478871,DC,2012-01-22,ACTIVE,548,Y
1297632588,Brandon,Thompson,Surgery,Surgery,MID,Mid-Atlantic Medical Center,PA,DEA6625528,DC,2005-11-17,ACTIVE,2306,Y
1640816369,Dorothy,Taylor,Cardiology,Cardiology,SCAL,Fontana Medical Center,NP,DEA5833353,CO,2021-02-20,ACTIVE,2451,Y
1391382705,Elizabeth,Nelson,Orthopedics,Orthopedics,NW,Interstate Medical Office,LCSW,DEA7263557,CA,2019-01-19,ACTIVE,647,Y
1405344005,Janet,Flores,Urology,Urology,MID,Mid-Atlantic Medical Center,MD,DEA3929908,HI,2018-11-30,INACTIVE,979,N
1740525572,Brian,Morales,Urology,Urology,MAS,Capitol Hill Medical Center,MD,DEA3664144,MD,2013-01-10,ACTIVE,1664,Y
1548825242,Ronald,Jackson,Radiology,Radiology,MID,Mid-Atlantic Medical Center,RN,DEA7554447,MD,2015-12-07,ACTIVE,848,N
1797430770,Paul,Adams,Surgery,Surgery,SCAL,Irvine Medical Center,NP,DEA6874288,GA,2008-12-31,ACTIVE,715,N
1018039565,Charles,Lee,Ophthalmology,Ophthalmology,NW,Westside Medical Center,MD,DEA6335462,HI,2016-04-05,ACTIVE,2034,Y
1914412921,Stephen,Perez,Dermatology,Dermatology,MAS,Capitol Hill Medical Center,MD,DEA7449728,CA,2007-03-03,ACTIVE,466,N
1616970750,Lisa,Rivera,Pediatrics,Pediatrics,HI,Maui Lani Medical Office,MD,DEA7721626,WA,2005-09-27,ACTIVE,155,N
1629933613,Justin,Wilson,Rheumatology,Rheumatology,NW,Sunnyside Medical Center,RN,DEA1167361,HI,2010-04-17,ACTIVE,1774,Y
1031357645,Michael,Young,ENT,ENT,SCAL,Irvine Medical Center,MD,DEA2419705,OR,2006-03-14,INACTIVE,939,N
1059511955,Kevin,Turner,Pulmonology,Pulmonology,CO,Rock Creek Medical Office,MD,DEA7296497,HI,2017-10-26,INACTIVE,575,Y
1347588641,Christopher,Evans,Gastroenterology,Gastroenterology,MID,Mid-Atlantic Medical Center,MD,DEA1773746,MD,2012-04-26,ACTIVE,1229,Y
1544816868,Laura,Nguyen,Gastroenterology,Gastroenterology,MAS,Capitol Hill Medical Center,RN,DEA7016668,MD,2005-05-27,ACTIVE,1938,N
1971993930,Deborah,Diaz,Rheumatology,Rheumatology,GA,Crescent Center,PhD,DEA8586684,WA,2018-12-10,ACTIVE,1280,Y
1874187612,Michelle,Morales,Internal Medicine,Internal Medicine,MID,Mid-Atlantic Medical Center,NP,DEA6849960,WA,2012-02-06,ACTIVE,343,N
1842549796,Raymond,Turner,OB/GYN,OB/GYN,GA,Crescent Center,MD,DEA3955050,MD,2009-06-04,ACTIVE,202,Y
1370280584,Debra,Perez,Orthopedics,Orthopedics,SCAL,Riverside Medical Center,PA,DEA3068657,CO,2017-08-13,ACTIVE,610,N
1950294322,Patricia,Turner,Nephrology,Nephrology,MID,Mid-Atlantic Medical Center,MD,DEA6695781,WA,2023-03-25,ACTIVE,2422,N
1123870197,Linda,Nguyen,Ophthalmology,Ophthalmology,NCAL,San Francisco Medical Center,RN,DEA5891097,CO,2017-02-03,ACTIVE,875,Y
1708015845,Gary,Edwards,Pulmonology,Pulmonology,MID,Mid-Atlantic Medical Center,DO,DEA7840370,OR,2016-02-21,ACTIVE,1167,Y
1671621886,Dorothy,King,Gastroenterology,Gastroenterology,NCAL,San Francisco Medical Center,MD,DEA1350850,MD,2016-01-14,ACTIVE,547,N
1638402880,Larry,Parker,ENT,ENT,SCAL,Fontana Medical Center,NP,DEA2648418,MD,2008-02-12,ON_LEAVE,1150,Y
1348751842,Matthew,Adams,Oncology,Oncology,MAS,Capitol Hill Medical Center,RN,DEA7126535,WA,2020-03-14,ACTIVE,992,N
1724243972,Thomas,Garcia,Cardiology,Cardiology,HI,Moanalua Medical Center,RN,DEA9559776,CA,2019-03-23,ACTIVE,2061,N
1984778862,Kenneth,Harris,Gastroenterology,Gastroenterology,NW,Interstate Medical Office,RN,DEA9307962,CO,2009-07-04,ACTIVE,1545,Y
1935720585,Lisa,Morris,Orthopedics,Orthopedics,HI,Maui Lani Medical Office,NP,DEA3898010,DC,2012-11-07,INACTIVE,1998,Y
1202268374,Deborah,Hill,OB/GYN,OB/GYN,CO,Rock Creek Medical Office,DO,DEA3715644,VA,2017-06-23,ACTIVE,2186,N
1754896058,Catherine,Martinez,Pediatrics,Pediatrics,NW,Westside Medical Center,PA,DEA3232459,GA,2010-06-21,ACTIVE,1573,Y
1175581069,Eric,Walker,Gastroenterology,Gastroenterology,CO,Franklin Medical Center,MD,DEA4183843,CO,2015-05-12,ACTIVE,1310,Y
1549342898,Kathleen,Taylor,Radiology,Radiology,MID,Burke Medical Center,NP,DEA7147403,OR,2019-07-26,ACTIVE,2355,Y
1194839449,Benjamin,Green,Emergency Medicine,Emergency Medicine,MID,Mid-Atlantic Medical Center,MD,DEA2401456,DC,2014-12-15,ACTIVE,753,N
1624077936,Kathleen,Stewart,Endocrinology,Endocrinology,CO,Rock Creek Medical Office,NP,DEA7196282,MD,2021-03-04,ACTIVE,1726,Y
1462977826,Donald,Smith,Urology,Urology,NCAL,Fremont Medical Center,MD,DEA3839044,HI,2012-10-16,ACTIVE,879,Y
1370420600,Susan,Jones,Gastroenterology,Gastroenterology,CO,Rock Creek Medical Office,RN,DEA3471092,MD,2022-03-18,ACTIVE,194,N
1992068246,Samuel,Morris,Dermatology,Dermatology,SCAL,San Diego Medical Center,NP,DEA4013718,OR,2009-06-09,ACTIVE,661,N
1813983508,Steven,Diaz,Radiology,Radiology,MAS,Capitol Hill Medical Center,RN,DEA6940515,CO,2010-06-16,ACTIVE,2295,Y
1069382267,Matthew,Wilson,Emergency Medicine,Emergency Medicine,SCAL,San Diego Medical Center,DO,DEA4287912,VA,2006-08-10,ACTIVE,1072,Y
1161422947,Barbara,Moore,Internal Medicine,Internal Medicine,NCAL,Walnut Creek Medical Center,MD,DEA8289476,HI,2012-09-13,ACTIVE,141,Y
1854347299,Kevin,Young,Orthopedics,Orthopedics,NW,Interstate Medical Office,PA,DEA8723838,CA,2008-01-13,ACTIVE,433,Y
1865023982,Debra,Adams,Ophthalmology,Ophthalmology,GA,Crescent Center,MD,DEA6398390,CA,2006-07-21,ACTIVE,2061,Y
1866234608,Amanda,Baker,OB/GYN,OB/GYN,MID,Burke Medical Center,MD,DEA1352816,HI,2021-05-18,ACTIVE,1561,Y
1879432441,Catherine,Morris,Psychiatry,Psychiatry,HI,Moanalua Medical Center,MD,DEA1927983,OR,2006-01-29,ACTIVE,822,Y
1842207541,Edward,Williams,Rheumatology,Rheumatology,MAS,Tysons Corner Medical Center,RN,DEA9583705,VA,2022-01-27,ACTIVE,2263,Y
1905185030,Kathleen,King,Gastroenterology,Gastroenterology,HI,Maui Lani Medical Office,MD,DEA7826671,MD,2006-12-02,ACTIVE,695,Y
1783183396,Patrick,Hall,Endocrinology,Endocrinology,MID,Mid-Atlantic Medical Center,MD,DEA5348525,DC,2014-03-20,ACTIVE,1123,Y
1696774010,Ronald,White,Pediatrics,Pediatrics,CO,Skyline Medical Center,PhD,DEA1176173,GA,2013-04-06,INACTIVE,2215,N
1668253295,Ronald,Thompson,Neurology,Neurology,CO,Skyline Medical Center,NP,DEA9014338,OR,2015-11-17,ACTIVE,2157,N
1087677893,Joshua,Thompson,Oncology,Oncology,NCAL,Fremont Medical Center,NP,DEA6707793,VA,2006-10-13,ACTIVE,2257,Y
1187738101,Eric,Anderson,Radiology,Radiology,HI,Maui Lani Medical Office,MD,DEA4344740,OR,2009-05-30,ON_LEAVE,1202,Y
1393550719,Frank,Miller,Radiology,Radiology,HI,Maui Lani Medical Office,RN,DEA7799210,GA,2017-08-15,INACTIVE,2382,Y
1016663037,Emma,Williams,Internal Medicine,Internal Medicine,NW,Interstate Medical Office,RN,DEA8259394,WA,2018-06-17,ACTIVE,743,Y
1729767912,William,Smith,OB/GYN,OB/GYN,CO,Skyline Medical Center,MD,DEA2294326,MD,2012-12-03,ACTIVE,476,Y
1428252961,Ashley,Thompson,OB/GYN,OB/GYN,MAS,Capitol Hill Medical Center,MD,DEA9783640,GA,2013-02-19,ACTIVE,1268,Y
1756161863,Stephen,Hernandez,OB/GYN,OB/GYN,SCAL,Downey Medical Center,DO,DEA3603542,DC,2019-02-16,ACTIVE,1502,Y
1795246502,Steven,Hill,Oncology,Oncology,CO,Skyline Medical Center,MD,DEA7146299,CO,2011-03-17,ACTIVE,1579,Y
1022814846,Ashley,Stewart,Ophthalmology,Ophthalmology,SCAL,Riverside Medical Center,NP,DEA5377510,GA,2018-12-05,ACTIVE,1688,Y
1666195245,Kathleen,Turner,Neurology,Neurology,NCAL,San Francisco Medical Center,RN,DEA2172325,WA,2013-01-14,ACTIVE,110,Y
1598438209,Barbara,Green,Internal Medicine,Internal Medicine,HI,Maui Lani Medical Office,RN,DEA7470584,VA,2013-12-15,ACTIVE,2362,Y
1732979806,Jack,Murphy,Radiology,Radiology,HI,Maui Lani Medical Office,NP,DEA6334970,DC,2019-01-05,ACTIVE,1063,Y
1300498871,Donna,Rodriguez,Neurology,Neurology,HI,Moanalua Medical Center,RN,DEA9620627,MD,2018-02-10,ACTIVE,1832,Y
1278241029,Charles,Moore,Radiology,Radiology,HI,Maui Lani Medical Office,NP,DEA3338458,DC,2007-08-25,ACTIVE,720,Y
1429095241,Ryan,King,Endocrinology,Endocrinology,MID,Burke Medical Center,MD,DEA2238077,OR,2020-03-21,ACTIVE,1204,N
1653402855,Richard,Baker,Internal Medicine,Internal Medicine,MAS,Capitol Hill Medical Center,PA,DEA8483329,CA,2013-08-07,ACTIVE,1826,Y
